[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -30.00000      # minimum value of x-mesh points
     xmax =   180.0000      # maximum value of x-mesh points
#    xdel =  0.4200000      # mesh width of x-mesh points
       nx =    500          # number of x-mesh points
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -2.00000E+01  0.00000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -80.00000      # minimum value of z-mesh points
     zmax =   150.0000      # maximum value of z-mesh points
#    zdel =  0.4600000      # mesh width of z-mesh points
       nz =    500          # number of z-mesh points
     axis =   xz            # axis of output
     file = 2d_xz_BSAORNL.dat  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :        1004 (  0)      125501 (  0)      126505 (  0)

#------------------------------------------------------------------------------
  1.504591E+02 -6.383593E+00
  1.504591E+02 -5.961916E+00
  1.504591E+02 -5.540239E+00
  1.504591E+02 -5.118563E+00
  1.504591E+02 -4.696886E+00
  1.504591E+02 -4.275210E+00
  1.504591E+02 -3.853533E+00
  1.504591E+02 -3.431856E+00
  1.504591E+02 -3.010180E+00
  1.504591E+02 -2.588503E+00
  1.504591E+02 -2.166826E+00
  1.504591E+02 -1.745150E+00
  1.504591E+02 -1.323473E+00
  1.504591E+02 -9.017964E-01
  1.504591E+02 -4.801197E-01
  1.504591E+02 -5.844309E-02
  1.504591E+02  3.632336E-01
  1.504591E+02  7.849102E-01
  1.504591E+02  1.206587E+00
  1.504591E+02  1.628263E+00
  1.504591E+02  2.049940E+00
  1.504591E+02  2.471617E+00
  1.504591E+02  2.893293E+00
  1.504591E+02  3.314970E+00
  1.504591E+02  3.736647E+00
  1.504591E+02  4.158323E+00
  1.504591E+02  4.580000E+00
  1.504591E+02  5.001677E+00
  1.504591E+02  5.423353E+00
  1.504591E+02  5.845030E+00
  1.504591E+02  6.266707E+00
  1.504591E+02  6.688383E+00
  1.504591E+02  7.110060E+00
  1.504591E+02  7.531737E+00
  1.504591E+02  7.953413E+00
  1.504591E+02  8.375090E+00
  1.504591E+02  8.796766E+00
  1.504591E+02  9.218443E+00
  1.504591E+02  9.640120E+00
  1.504591E+02  1.006180E+01
  1.504591E+02  1.048347E+01
  1.504591E+02  1.090515E+01
  1.504591E+02  1.132683E+01
  1.504591E+02  1.174850E+01
  1.504591E+02  1.217018E+01
  1.504591E+02  1.259186E+01
  1.504591E+02  1.301353E+01
  1.504591E+02  1.343521E+01
  1.504591E+02  1.385689E+01
  1.504591E+02  1.427856E+01
  1.504591E+02  1.470024E+01
  1.504591E+02  1.512192E+01
  1.504591E+02  1.554359E+01
  1.504591E+02  1.596527E+01
  1.504591E+02  1.638695E+01
  1.504591E+02  1.680862E+01
  1.504591E+02  1.723030E+01
  1.504591E+02  1.765198E+01
  1.504591E+02  1.807365E+01
  1.504591E+02  1.849533E+01
  1.504591E+02  1.891701E+01
  1.504591E+02  1.933868E+01
  1.504591E+02  1.976036E+01
  1.504591E+02  2.018204E+01
  1.504591E+02  2.060371E+01
  1.504591E+02  2.102539E+01
  1.504591E+02  2.144707E+01
  1.504591E+02  2.186874E+01
  1.504591E+02  2.229042E+01
  1.504591E+02  2.271210E+01
  1.504591E+02  2.313377E+01
  1.504591E+02  2.355545E+01
  1.504591E+02  2.397713E+01
  1.504591E+02  2.439880E+01
  1.504591E+02  2.482048E+01
  1.504591E+02  2.524216E+01
  1.504591E+02  2.566383E+01
  1.504591E+02  2.608551E+01
  1.504591E+02  2.650719E+01
  1.504591E+02  2.692886E+01
  1.504591E+02  2.735054E+01
  1.504591E+02  2.777222E+01
