  9.868426E+00 -1.400000E+01
  9.842411E+00 -1.400000E+01
  9.842111E+00 -1.400000E+01
  9.816096E+00 -1.400000E+01
  9.815796E+00 -1.400000E+01
  9.789781E+00 -1.400000E+01
  9.789481E+00 -1.400000E+01
  9.763466E+00 -1.400000E+01
  9.763166E+00 -1.400000E+01
  9.737151E+00 -1.400000E+01
  9.736851E+00 -1.400000E+01
  9.710836E+00 -1.400000E+01
  9.710536E+00 -1.400000E+01
  9.684521E+00 -1.400000E+01
  9.684221E+00 -1.400000E+01
  9.658207E+00 -1.400000E+01
  9.657906E+00 -1.400000E+01
  9.631892E+00 -1.400000E+01
  9.631591E+00 -1.400000E+01
  9.605577E+00 -1.400000E+01
  9.605277E+00 -1.400000E+01
  9.579262E+00 -1.400000E+01
  9.578962E+00 -1.400000E+01
  9.552947E+00 -1.400000E+01
  9.552647E+00 -1.400000E+01
  9.526632E+00 -1.400000E+01
  9.526332E+00 -1.400000E+01
  9.500317E+00 -1.400000E+01
  9.500017E+00 -1.400000E+01
  9.474002E+00 -1.400000E+01
  9.473702E+00 -1.400000E+01
  9.447687E+00 -1.400000E+01
  9.447387E+00 -1.400000E+01
  9.421372E+00 -1.400000E+01
  9.421072E+00 -1.400000E+01
  9.395058E+00 -1.400000E+01
  9.394757E+00 -1.400000E+01
  9.368743E+00 -1.400000E+01
  9.368442E+00 -1.400000E+01
  9.342428E+00 -1.400000E+01
  9.342128E+00 -1.400000E+01
  9.316113E+00 -1.400000E+01
  9.315813E+00 -1.400000E+01
  9.289798E+00 -1.400000E+01
  9.289498E+00 -1.400000E+01
  9.263483E+00 -1.400000E+01
  9.263183E+00 -1.400000E+01
  9.237168E+00 -1.400000E+01
  9.236868E+00 -1.400000E+01
  9.210853E+00 -1.400000E+01
  9.210553E+00 -1.400000E+01
  9.184538E+00 -1.400000E+01
  9.184238E+00 -1.400000E+01
  9.158224E+00 -1.400000E+01
  9.157923E+00 -1.400000E+01
  9.131909E+00 -1.400000E+01
  9.131608E+00 -1.400000E+01
  9.105594E+00 -1.400000E+01
  9.105294E+00 -1.400000E+01
  9.079279E+00 -1.400000E+01
  9.078979E+00 -1.400000E+01
  9.052964E+00 -1.400000E+01
  9.052664E+00 -1.400000E+01
  9.026649E+00 -1.400000E+01
  9.026349E+00 -1.400000E+01
  9.000334E+00 -1.400000E+01
  9.000034E+00 -1.400000E+01
  8.974019E+00 -1.400000E+01
  8.973719E+00 -1.400000E+01
  8.947704E+00 -1.400000E+01
  8.947404E+00 -1.400000E+01
  8.921389E+00 -1.400000E+01
  8.921089E+00 -1.400000E+01
  8.895075E+00 -1.400000E+01
  8.894774E+00 -1.400000E+01
  8.868760E+00 -1.400000E+01
  8.868459E+00 -1.400000E+01
  8.842445E+00 -1.400000E+01
  8.842145E+00 -1.400000E+01
  8.816130E+00 -1.400000E+01
  8.815830E+00 -1.400000E+01
  8.789815E+00 -1.400000E+01
  8.789515E+00 -1.400000E+01
  8.763500E+00 -1.400000E+01
  8.763200E+00 -1.400000E+01
  8.737185E+00 -1.400000E+01
  8.736885E+00 -1.400000E+01
  8.710870E+00 -1.400000E+01
  8.710570E+00 -1.400000E+01
  8.684555E+00 -1.400000E+01
  8.684255E+00 -1.400000E+01
  8.658240E+00 -1.400000E+01
  8.657940E+00 -1.400000E+01
  8.631926E+00 -1.400000E+01
  8.631625E+00 -1.400000E+01
  8.605611E+00 -1.400000E+01
  8.605310E+00 -1.400000E+01
  8.579296E+00 -1.400000E+01
  8.578996E+00 -1.400000E+01
  8.552981E+00 -1.400000E+01
  8.552681E+00 -1.400000E+01
  8.526666E+00 -1.400000E+01
  8.526366E+00 -1.400000E+01
  8.500351E+00 -1.400000E+01
  8.500051E+00 -1.400000E+01
  8.474036E+00 -1.400000E+01
  8.473736E+00 -1.400000E+01
  8.447721E+00 -1.400000E+01
  8.447421E+00 -1.400000E+01
  8.421406E+00 -1.400000E+01
  8.421106E+00 -1.400000E+01
  8.395092E+00 -1.400000E+01
  8.394791E+00 -1.400000E+01
  8.368777E+00 -1.400000E+01
  8.368476E+00 -1.400000E+01
  8.342462E+00 -1.400000E+01
  8.342162E+00 -1.400000E+01
  8.316147E+00 -1.400000E+01
  8.315847E+00 -1.400000E+01
  8.289832E+00 -1.400000E+01
  8.289532E+00 -1.400000E+01
  8.263517E+00 -1.400000E+01
  8.263217E+00 -1.400000E+01
  8.237202E+00 -1.400000E+01
  8.236902E+00 -1.400000E+01
  8.210887E+00 -1.400000E+01
  8.210587E+00 -1.400000E+01
  8.184572E+00 -1.400000E+01
  8.184272E+00 -1.400000E+01
  8.158257E+00 -1.400000E+01
  8.157957E+00 -1.400000E+01
  8.131943E+00 -1.400000E+01
  8.131642E+00 -1.400000E+01
  8.105628E+00 -1.400000E+01
  8.105327E+00 -1.400000E+01
  8.079313E+00 -1.400000E+01
  8.079013E+00 -1.400000E+01
  8.052998E+00 -1.400000E+01
  8.052698E+00 -1.400000E+01
  8.026683E+00 -1.400000E+01
  8.026383E+00 -1.400000E+01
  8.000368E+00 -1.400000E+01
  8.000068E+00 -1.400000E+01
  7.974053E+00 -1.400000E+01
  7.973753E+00 -1.400000E+01
  7.947738E+00 -1.400000E+01
  7.947438E+00 -1.400000E+01
  7.921423E+00 -1.400000E+01
  7.921123E+00 -1.400000E+01
  7.895108E+00 -1.400000E+01
  7.894808E+00 -1.400000E+01
  7.868794E+00 -1.400000E+01
  7.868493E+00 -1.400000E+01
  7.842479E+00 -1.400000E+01
  7.842178E+00 -1.400000E+01
  7.816164E+00 -1.400000E+01
  7.815864E+00 -1.400000E+01
  7.789849E+00 -1.400000E+01
  7.789549E+00 -1.400000E+01
  7.763534E+00 -1.400000E+01
  7.763234E+00 -1.400000E+01
  7.737219E+00 -1.400000E+01
  7.736919E+00 -1.400000E+01
  7.710904E+00 -1.400000E+01
  7.710604E+00 -1.400000E+01
