  2.100000E+01 -1.134849E+01
  2.100000E+01 -1.132555E+01
  2.100000E+01 -1.132524E+01
  2.100000E+01 -1.130230E+01
  2.100000E+01 -1.130199E+01
  2.100000E+01 -1.127905E+01
  2.100000E+01 -1.127873E+01
  2.100000E+01 -1.125579E+01
  2.100000E+01 -1.125548E+01
  2.100000E+01 -1.123254E+01
  2.100000E+01 -1.123222E+01
  2.100000E+01 -1.120928E+01
  2.100000E+01 -1.120897E+01
  2.100000E+01 -1.118603E+01
  2.100000E+01 -1.118572E+01
  2.100000E+01 -1.116278E+01
  2.100000E+01 -1.116246E+01
  2.100000E+01 -1.113952E+01
  2.100000E+01 -1.113921E+01
  2.100000E+01 -1.111627E+01
  2.100000E+01 -1.111596E+01
  2.100000E+01 -1.109302E+01
  2.100000E+01 -1.109270E+01
  2.100000E+01 -1.106976E+01
  2.100000E+01 -1.106945E+01
  2.100000E+01 -1.104651E+01
  2.100000E+01 -1.104619E+01
  2.100000E+01 -1.102325E+01
  2.100000E+01 -1.102294E+01
  2.100000E+01 -1.100000E+01
  2.100000E+01 -1.099969E+01
  2.100000E+01 -1.097675E+01
  2.100000E+01 -1.097643E+01
  2.100000E+01 -1.095349E+01
  2.100000E+01 -1.095318E+01
  2.100000E+01 -1.093024E+01
  2.100000E+01 -1.092993E+01
  2.100000E+01 -1.090698E+01
  2.100000E+01 -1.090667E+01
  2.100000E+01 -1.088373E+01
  2.100000E+01 -1.088342E+01
  2.100000E+01 -1.086048E+01
  2.100000E+01 -1.086016E+01
  2.100000E+01 -1.083722E+01
  2.100000E+01 -1.083691E+01
  2.100000E+01 -1.081397E+01
  2.100000E+01 -1.081366E+01
  2.100000E+01 -1.079072E+01
  2.100000E+01 -1.079040E+01
  2.100000E+01 -1.076746E+01
  2.100000E+01 -1.076715E+01
  2.100000E+01 -1.074421E+01
  2.100000E+01 -1.074390E+01
  2.100000E+01 -1.072095E+01
  2.100000E+01 -1.072064E+01
  2.100000E+01 -1.069770E+01
  2.100000E+01 -1.069739E+01
  2.100000E+01 -1.067445E+01
  2.100000E+01 -1.067413E+01
  2.100000E+01 -1.065119E+01
  2.100000E+01 -1.065088E+01
  2.100000E+01 -1.062794E+01
  2.100000E+01 -1.062763E+01
  2.100000E+01 -1.060469E+01
  2.100000E+01 -1.060437E+01
  2.100000E+01 -1.058143E+01
  2.100000E+01 -1.058112E+01
  2.100000E+01 -1.055818E+01
  2.100000E+01 -1.055787E+01
  2.100000E+01 -1.053492E+01
  2.100000E+01 -1.053461E+01
  2.100000E+01 -1.051167E+01
  2.100000E+01 -1.051136E+01
  2.100000E+01 -1.048842E+01
  2.100000E+01 -1.048810E+01
  2.100000E+01 -1.046516E+01
  2.100000E+01 -1.046485E+01
  2.100000E+01 -1.044191E+01
  2.100000E+01 -1.044160E+01
  2.100000E+01 -1.041866E+01
  2.100000E+01 -1.041834E+01
  2.100000E+01 -1.039540E+01
  2.100000E+01 -1.039509E+01
  2.100000E+01 -1.037215E+01
  2.100000E+01 -1.037184E+01
  2.100000E+01 -1.034889E+01
  2.100000E+01 -1.034858E+01
  2.100000E+01 -1.032564E+01
  2.100000E+01 -1.032533E+01
  2.100000E+01 -1.030239E+01
  2.100000E+01 -1.030207E+01
  2.100000E+01 -1.027913E+01
  2.100000E+01 -1.027882E+01
  2.100000E+01 -1.025588E+01
  2.100000E+01 -1.025557E+01
  2.100000E+01 -1.023263E+01
  2.100000E+01 -1.023231E+01
  2.100000E+01 -1.020937E+01
  2.100000E+01 -1.020906E+01
  2.100000E+01 -1.018612E+01
  2.100000E+01 -1.018581E+01
  2.100000E+01 -1.016286E+01
  2.100000E+01 -1.016255E+01
  2.100000E+01 -1.013961E+01
  2.100000E+01 -1.013930E+01
  2.100000E+01 -1.011636E+01
  2.100000E+01 -1.011604E+01
  2.100000E+01 -1.009310E+01
  2.100000E+01 -1.009279E+01
  2.100000E+01 -1.006985E+01
  2.100000E+01 -1.006954E+01
  2.100000E+01 -1.004660E+01
  2.100000E+01 -1.004628E+01
  2.100000E+01 -1.002334E+01
  2.100000E+01 -1.002303E+01
  2.100000E+01 -1.000009E+01
  2.100000E+01 -9.999776E+00
  2.100000E+01 -9.976835E+00
  2.100000E+01 -9.976522E+00
  2.100000E+01 -9.953581E+00
  2.100000E+01 -9.953268E+00
  2.100000E+01 -9.930327E+00
  2.100000E+01 -9.930014E+00
  2.100000E+01 -9.907073E+00
  2.100000E+01 -9.906761E+00
  2.100000E+01 -9.883820E+00
  2.100000E+01 -9.883507E+00
  2.100000E+01 -9.860566E+00
  2.100000E+01 -9.860253E+00
  2.100000E+01 -9.837312E+00
  2.100000E+01 -9.836999E+00
  2.100000E+01 -9.814058E+00
  2.100000E+01 -9.813746E+00
  2.100000E+01 -9.790805E+00
  2.100000E+01 -9.790492E+00
  2.100000E+01 -9.767551E+00
  2.100000E+01 -9.767238E+00
  2.100000E+01 -9.744297E+00
  2.100000E+01 -9.743984E+00
  2.100000E+01 -9.721043E+00
  2.100000E+01 -9.720730E+00
  2.100000E+01 -9.697790E+00
  2.100000E+01 -9.697477E+00
  2.100000E+01 -9.674536E+00
  2.100000E+01 -9.674223E+00
  2.100000E+01 -9.651282E+00
  2.100000E+01 -9.650969E+00
  2.100000E+01 -9.628028E+00
  2.100000E+01 -9.627715E+00
  2.100000E+01 -9.604775E+00
  2.100000E+01 -9.604462E+00
  2.100000E+01 -9.581521E+00
  2.100000E+01 -9.581208E+00
  2.100000E+01 -9.558267E+00
  2.100000E+01 -9.557954E+00
  2.100000E+01 -9.535013E+00
  2.100000E+01 -9.534700E+00
  2.100000E+01 -9.511759E+00
  2.100000E+01 -9.511447E+00
  2.100000E+01 -9.488506E+00
  2.100000E+01 -9.488193E+00
  2.100000E+01 -9.465252E+00
  2.100000E+01 -9.464939E+00
  2.100000E+01 -9.441998E+00
  2.100000E+01 -9.441685E+00
  2.100000E+01 -9.418744E+00
  2.100000E+01 -9.418432E+00
  2.100000E+01 -9.395491E+00
  2.100000E+01 -9.395178E+00
  2.100000E+01 -9.372237E+00
  2.100000E+01 -9.371924E+00
  2.100000E+01 -9.348983E+00
  2.100000E+01 -9.348670E+00
  2.100000E+01 -9.325729E+00
  2.100000E+01 -9.325417E+00
  2.100000E+01 -9.302476E+00
  2.100000E+01 -9.302163E+00
  2.100000E+01 -9.279222E+00
  2.100000E+01 -9.278909E+00
  2.100000E+01 -9.255968E+00
  2.100000E+01 -9.255655E+00
